"","CF_M24_EV1","CF_M24_EVPA1","CF_M24_EV2","CF_M24_EVPA2","CF_M24_EV3","CF_M24_EVPA3","CF_M31_EV1","CF_M31_EVPA1","CF_M31_EV2","CF_M31_EVPA2","CF_M31_EV3","CF_M31_EVPA3","CF_M32_EV1","CF_M32_EVPA1","CF_M32_EV2","CF_M32_EVPA2","CF_M32_EV3","CF_M32_EVPA3"
"ENSG00000000003",184.172,228.274,207.77,205.397,207.567,230.968,45.823,144.196,39.658,105.147,108.811,70.917,207.228,218.801,233.777,177.145,168.199,131.041
"ENSG00000000005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000419",120,151,12,117,148,143,6,44,25,88,17,92,146,121,84,84,94,111
"ENSG00000000457",20,34.502,8.114,29.003,19.108,39.007,38.569,15.383,31.798,44.07,19,22.067,31,24.06,25,27.263,27.077,21.026
"ENSG00000000460",11.155,25.448,11.497,22.173,24.828,16.527,4,2.683,1.644,15,10.518,15.218,31.419,22.961,19.286,16.775,34.514,12.036
"ENSG00000000938",2517,1455,1289,1911,2491.999,1420,165,839,447.999,1091,353,1106,2226,1384,2351.999,1220.999,2095,1232
"ENSG00000000971",2,0,0,0,1,1,2,2,0,7,3,6,3.119,3,2,0,0,2
"ENSG00000001036",335.189,269.564,90.313,303.491,328.285,305.498,71.955,152.122,90.727,257.553,131.741,279.16,343.955,331.579,298.746,310.238,301.073,269.377
"ENSG00000001084",1234.572,460.161,567.952,586.029,1203.894,439.723,247.666,346.667,434.892,414.781,437.917,442.138,808.678,578.249,794.39,381.139,763.179,388.809
"ENSG00000001167",70,40,19,62,54,72,28,15,38,78,33,58,47,45,42,34,51,37
"ENSG00000001460",32.286,18.328,26.053,24.42,26.245,30.596,75.273,27.268,34.805,35.781,42.913,27.919,33.896,62.229,32.081,24.653,22.899,23.096
"ENSG00000001461",118.956,157.356,130.77,187.767,159.626,126.519,119.329,103.497,148.225,178.755,90.808,123.757,169.477,119.537,150.377,151.617,126.912,143.258
"ENSG00000001497",97,62,9,40,56,47,116,27,109,52,106,40,70,58,58.001,42,54,34
"ENSG00000001561",56,81,9,91,63,73,9,46,14,105,8,110,42,45,47,74,29,54
"ENSG00000001617",0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000001626",0,0,0,0,0,0,20.123,0,5.573,0,0,0.753,0,0,0,0,0,0
"ENSG00000001629",197,169.001,119,194,238.006,172,13.028,106.994,19,109.102,18,96.999,167.004,176,169,216.001,169,123
"ENSG00000001630",469.998,374.688,113.033,404.058,503.556,452.698,737.103,576.996,599.007,561.015,302.81,521.065,599.561,409.531,605.594,576.884,701.815,594.063
"ENSG00000001631",267.66,231.309,104.108,277.999,247.999,238.143,121.962,206.21,162.76,201.969,150.957,185.175,243.983,234.116,229.001,203.066,207.07,218.972
"ENSG00000002016",13,11,17,16,17,7,69,8,25,18,2,10,7,2,8,13,5,9
"ENSG00000002079",2,0,0,0,0,0,0,0,2,2,0,1,4,4,1,2,0,2
"ENSG00000002330",78,62,66,68,93,51,71,59,64,102,154,105,77,60,76,77,93,93
