"ENTREZID","SYMBOL","logFC","logCPM","LR","PValue","FDR"
6374,"CXCL5",8.27286380190839,9.97390853334893,326.63964537811,5.18427794591911e-73,6.66438929947902e-69
3553,"IL1B",6.83915491845613,8.08262125228453,267.918435641133,3.22539955678908e-60,2.07312556512618e-56
3620,"IDO1",7.95459982522614,3.86271211586941,197.591877973265,7.00412007078629e-45,3.00126545033193e-41
6648,"SOD2",3.80393789335521,11.1256778095327,183.283690997665,9.30020027630402e-42,2.9888518637972e-38
1462,"VCAN",6.11491710223005,6.25409946537688,181.88520403522,1.87851805058516e-41,4.82966990805445e-38
3575,"IL7R",4.35048299587644,6.48137056697162,175.988361001487,3.64231432942823e-40,7.80365845079998e-37
4973,"OLR1",5.14044141828048,4.91821574346177,174.125473674481,9.29358779890121e-40,1.70670101649821e-36
7130,"TNFAIP6",6.15501177754013,6.58883106566265,173.773958328673,1.10904175149929e-39,1.78209146444042e-36
2919,"CXCL1",7.01265903416556,5.86569665231251,160.688707087259,8.00158627963322e-37,1.14289324027428e-33
9021,"SOCS3",6.3338332463174,5.54414827416513,153.662552576369,2.74457431032924e-35,3.52815027592824e-32
5473,"PPBP",6.31541025912564,4.42361743803829,152.746707454594,4.35140904402819e-35,5.08521484190749e-32
3576,"CXCL8",7.66685632235146,6.94142148675981,147.460727616331,6.22321647370199e-34,6.66662064745326e-31
6279,"S100A8",5.86825591823636,8.24027053961891,142.036654935841,9.54699124798752e-33,9.44050557637536e-30
10135,"NAMPT",4.45134873301395,8.24207727705208,138.510865608732,5.63462543104971e-32,5.17379356543886e-29
118430,"MUCL1",7.50006497803726,4.736886236796,131.685375609715,1.75314450442587e-30,1.50244484029297e-27
2357,"FPR1",3.26185666901322,4.55267204449965,129.113248452371,6.40572197602727e-30,5.14659725011441e-27
50486,"G0S2",6.44607401956165,7.01450703492199,127.955601186775,1.1478217145949e-29,8.67955773006904e-27
654817,"NCF1C",3.03466768159528,5.85135856087784,124.819494049631,5.57413911772724e-29,3.98086435324354e-26
1839,"HBEGF",2.70757993629984,5.85030204921137,123.961416786257,8.58977299872492e-29,5.81165957361099e-26
